Emp_ID,Education,JoiningYear,City,PaymentTier,Age,Gender,Experience
182,Bachelors,2015,Pune,3,27,Male,5
183,Bachelors,2018,Bangalore,3,24,Male,2
184,Masters,2017,New Delhi,3,27,Male,5
185,Masters,2017,New Delhi,2,28,Female,1
186,Masters,2017,Pune,2,24,Male,2
187,Masters,2016,New Delhi,3,25,Female,3
188,PHD,2015,New Delhi,3,28,Female,1
189,Bachelors,2017,New Delhi,2,26,Male,4
190,Bachelors,2013,Bangalore,2,27,Male,5
191,Bachelors,2015,Bangalore,3,26,Male,4
192,Bachelors,2015,Bangalore,3,26,Male,4
193,Bachelors,2013,Bangalore,3,28,Male,1
194,Bachelors,2015,Bangalore,3,27,Female,5
195,Bachelors,2013,New Delhi,3,25,Female,3
196,Bachelors,2013,Pune,3,28,Male,1
197,Bachelors,2017,Pune,3,24,Male,2
198,Bachelors,2013,New Delhi,3,27,Female,5
199,Bachelors,2015,Bangalore,3,28,Male,2
200,Bachelors,2015,Pune,3,28,Male,3
201,Bachelors,2014,Pune,2,25,Female,3
202,Bachelors,2014,Bangalore,3,25,Male,3
203,Bachelors,2017,Bangalore,3,27,Male,5
204,Bachelors,2014,Pune,2,26,Female,4
205,PHD,2013,New Delhi,3,24,Male,2
206,Bachelors,2015,Pune,2,26,Female,4
207,Bachelors,2017,Bangalore,3,25,Male,3
208,Masters,2013,Pune,2,27,Male,5
209,Masters,2017,Bangalore,3,28,Male,2
210,Bachelors,2012,Bangalore,3,25,Male,3
211,Bachelors,2017,Bangalore,3,27,Male,5
212,Masters,2017,Pune,2,27,Female,5
213,Masters,2013,Bangalore,2,28,Female,2
214,Masters,2017,Pune,3,28,Male,1
215,Bachelors,2018,Bangalore,3,27,Female,5
216,Bachelors,2014,New Delhi,3,25,Female,3
217,Masters,2017,New Delhi,3,27,Male,5
218,Masters,2013,New Delhi,3,26,Male,4
219,Bachelors,2013,Pune,2,25,Female,3
220,Masters,2012,New Delhi,3,26,Male,4
221,Bachelors,2016,Bangalore,3,25,Male,3
222,Bachelors,2013,Pune,2,26,Male,4
223,Bachelors,2018,Bangalore,3,28,Female,2
224,Bachelors,2013,Bangalore,3,27,Male,5
225,Bachelors,2015,Pune,1,24,Female,2
226,Bachelors,2013,Pune,3,28,Male,2
227,Bachelors,2015,Pune,2,27,Female,5
228,Bachelors,2018,Bangalore,3,25,Male,3
229,Bachelors,2014,Pune,2,27,Female,5
230,Bachelors,2013,Pune,3,24,Male,2
231,Bachelors,2014,Pune,3,24,Male,2
232,PHD,2015,New Delhi,2,25,Female,3
233,Bachelors,2014,Bangalore,3,26,Male,4
234,Bachelors,2018,Bangalore,3,24,Male,2
235,Masters,2015,Pune,2,25,Female,3
236,Bachelors,2015,Bangalore,3,24,Male,2
237,Bachelors,2014,New Delhi,3,24,Female,2
238,Masters,2017,Bangalore,2,26,Female,4
239,Bachelors,2012,New Delhi,3,28,Male,1
240,Masters,2017,Pune,2,26,Female,4
241,Bachelors,2016,Pune,3,25,Male,3
242,Bachelors,2017,New Delhi,3,24,Male,2
243,Bachelors,2013,Pune,2,28,Female,3
244,Bachelors,2014,Bangalore,3,25,Female,3
245,Bachelors,2014,Bangalore,3,25,Male,3
246,Bachelors,2014,Pune,2,24,Female,2
247,Bachelors,2015,Bangalore,3,28,Male,2
248,Bachelors,2015,Bangalore,3,27,Male,5
249,Bachelors,2016,Pune,3,26,Male,4
250,Masters,2015,New Delhi,3,26,Female,4
251,Bachelors,2016,Bangalore,1,28,Female,2
252,Bachelors,2014,Bangalore,3,25,Male,3
253,Bachelors,2014,Bangalore,3,27,Male,5
254,Bachelors,2017,Bangalore,3,28,Male,2
255,Masters,2018,New Delhi,3,24,Female,2
256,Bachelors,2017,Pune,2,25,Male,3
257,Bachelors,2018,Pune,2,24,Female,2
258,Masters,2017,New Delhi,2,28,Female,1
259,Bachelors,2013,New Delhi,1,27,Female,5
260,Bachelors,2017,New Delhi,2,27,Female,5
261,Bachelors,2017,Bangalore,3,28,Male,1
262,Bachelors,2016,Pune,2,27,Female,5
263,Masters,2018,Bangalore,3,24,Male,2
264,Bachelors,2012,Pune,1,26,Male,4
265,Bachelors,2016,Bangalore,3,26,Male,4
266,Masters,2016,New Delhi,1,27,Male,5
267,Bachelors,2015,New Delhi,3,26,Female,4
268,Bachelors,2012,Bangalore,3,27,Male,5
269,Bachelors,2013,Bangalore,3,24,Male,2
270,Bachelors,2018,Bangalore,3,26,Female,4
271,Masters,2017,Pune,2,26,Female,4
272,Masters,2017,New Delhi,2,28,Female,2
273,Bachelors,2013,Pune,3,28,Male,1
274,Masters,2013,New Delhi,3,25,Male,3
275,Bachelors,2018,Bangalore,3,28,Female,1
276,Bachelors,2013,Pune,3,27,Female,5
277,Bachelors,2012,Bangalore,3,25,Male,3
278,Bachelors,2014,Bangalore,3,28,Male,1
279,Bachelors,2017,New Delhi,3,28,Female,3
280,Masters,2017,New Delhi,2,28,Male,2
281,Bachelors,2014,Bangalore,3,25,Male,3
282,Masters,2017,New Delhi,3,26,Male,4
283,Bachelors,2015,Pune,1,25,Female,3
284,Masters,2013,New Delhi,3,27,Male,5
285,PHD,2014,Bangalore,3,24,Female,2
286,Masters,2017,New Delhi,2,27,Female,5
287,Bachelors,2018,Bangalore,3,26,Male,4
288,Bachelors,2012,Bangalore,3,26,Male,4
289,Masters,2015,Pune,3,27,Female,5
290,Bachelors,2018,Bangalore,3,26,Male,4
291,Bachelors,2016,Bangalore,3,24,Male,2
292,Masters,2017,New Delhi,2,25,Female,3
293,Bachelors,2017,New Delhi,2,28,Male,1
294,Bachelors,2012,New Delhi,3,27,Female,5
295,Masters,2013,New Delhi,3,26,Male,4
296,Bachelors,2015,Bangalore,3,26,Female,4
297,Bachelors,2014,Pune,3,28,Male,2
298,Bachelors,2016,Bangalore,3,24,Female,2
299,Bachelors,2012,Bangalore,3,28,Male,3
300,Bachelors,2012,Bangalore,3,27,Male,5
301,Bachelors,2013,Bangalore,3,26,Male,4
302,Bachelors,2014,New Delhi,3,28,Female,1
303,Bachelors,2014,New Delhi,3,27,Female,5
304,Bachelors,2015,Pune,3,26,Female,4
305,Masters,2014,New Delhi,3,26,Male,4
306,PHD,2015,New Delhi,3,25,Female,3
307,Masters,2015,New Delhi,3,25,Male,3
308,Bachelors,2012,Pune,3,27,Male,5
309,Masters,2017,New Delhi,2,24,Female,2
310,Bachelors,2016,Bangalore,3,24,Male,2
311,Masters,2015,Pune,3,28,Female,2
312,Bachelors,2017,Bangalore,3,24,Female,2
313,Bachelors,2017,Pune,3,25,Male,3
314,Bachelors,2017,Bangalore,1,25,Male,3
315,Masters,2015,Pune,3,28,Female,2
316,Bachelors,2017,Pune,3,26,Male,4
317,Bachelors,2014,Pune,3,24,Male,2
318,Bachelors,2014,Pune,3,25,Female,3
319,Bachelors,2018,Pune,3,26,Female,4
320,Bachelors,2016,Bangalore,3,27,Male,5
321,Bachelors,2017,Bangalore,3,28,Female,2
322,Bachelors,2012,Pune,3,28,Male,2
323,Masters,2012,New Delhi,3,24,Female,2
324,Bachelors,2013,Bangalore,3,26,Male,4
325,Bachelors,2015,New Delhi,3,26,Female,4
326,Bachelors,2017,Bangalore,3,28,Male,1
327,Bachelors,2018,Pune,3,25,Male,3
328,Masters,2017,New Delhi,3,24,Male,2
329,Bachelors,2013,Bangalore,3,28,Male,2
330,Bachelors,2017,Bangalore,3,24,Male,2
331,Masters,2017,New Delhi,2,25,Female,3
332,Bachelors,2013,Pune,2,28,Female,1
333,Bachelors,2015,Bangalore,3,24,Female,2
334,Bachelors,2016,Pune,3,26,Male,4
335,Bachelors,2015,New Delhi,2,27,Female,5
336,Bachelors,2018,Bangalore,3,24,Female,2
337,Bachelors,2013,Bangalore,3,27,Female,5
338,Bachelors,2013,Bangalore,3,24,Male,2
339,Bachelors,2013,Bangalore,3,24,Female,2
340,Bachelors,2013,Bangalore,3,27,Male,5
341,Bachelors,2017,Bangalore,3,26,Female,4
342,Bachelors,2015,Bangalore,3,24,Female,2
343,Bachelors,2012,Pune,3,24,Female,2
344,Bachelors,2016,Bangalore,3,24,Male,2
345,Bachelors,2012,Bangalore,3,28,Male,3
346,Bachelors,2017,New Delhi,2,27,Male,5
347,Bachelors,2012,Pune,2,27,Female,5
348,Masters,2017,Pune,2,27,Male,5
349,Bachelors,2017,Pune,2,24,Male,2
350,Bachelors,2016,Pune,1,26,Female,4
351,Bachelors,2015,Pune,3,26,Female,4
352,Bachelors,2016,Bangalore,3,25,Male,3
353,Bachelors,2012,Pune,3,26,Male,4
354,Bachelors,2017,Bangalore,3,28,Male,2
355,Bachelors,2012,Bangalore,3,25,Male,3
356,Bachelors,2017,Bangalore,3,25,Female,3
357,Masters,2017,Pune,2,26,Male,4
358,Masters,2017,Pune,3,28,Male,1
359,Masters,2015,Pune,2,25,Female,3
360,Bachelors,2017,New Delhi,2,26,Female,4
361,Bachelors,2017,New Delhi,2,26,Male,4
362,Bachelors,2016,Bangalore,3,27,Male,5
363,Bachelors,2017,New Delhi,3,27,Female,5
364,Bachelors,2015,New Delhi,3,24,Female,2
365,Masters,2017,Bangalore,1,26,Female,4
366,Bachelors,2017,New Delhi,1,28,Female,2
367,Bachelors,2015,Bangalore,3,24,Male,2
368,Masters,2015,Pune,2,25,Female,3
369,Bachelors,2014,Bangalore,3,25,Female,3
370,Bachelors,2014,Bangalore,3,28,Male,2
371,Bachelors,2017,Bangalore,3,28,Male,3
372,Masters,2015,New Delhi,1,27,Male,5
373,Bachelors,2014,Pune,1,26,Female,4
374,Masters,2018,Bangalore,3,25,Male,3
375,Bachelors,2016,Bangalore,3,28,Female,3
376,Bachelors,2018,New Delhi,3,26,Female,4
377,Bachelors,2015,Pune,2,24,Female,2
378,Bachelors,2017,Bangalore,3,27,Male,5
379,Bachelors,2014,Bangalore,3,26,Male,4
380,Bachelors,2014,Bangalore,3,24,Male,2
381,Bachelors,2016,Bangalore,3,28,Male,2
382,Bachelors,2015,Pune,2,25,Female,3
383,Bachelors,2013,Pune,3,27,Male,5
384,Bachelors,2015,Bangalore,3,28,Male,3
385,Bachelors,2014,Bangalore,3,26,Male,4
386,Bachelors,2012,Bangalore,3,24,Male,2
387,Bachelors,2013,Bangalore,3,27,Male,5
388,Bachelors,2015,Bangalore,3,26,Female,4
389,Bachelors,2015,Pune,3,28,Male,2
390,Bachelors,2014,New Delhi,2,24,Female,2
391,Bachelors,2013,Bangalore,3,24,Male,2
392,Bachelors,2018,Bangalore,3,28,Male,3
393,Bachelors,2015,Pune,3,27,Male,5
394,Bachelors,2014,Pune,2,26,Male,4
395,Bachelors,2016,Bangalore,3,25,Male,3
396,PHD,2013,Bangalore,3,25,Male,3
397,Bachelors,2014,Bangalore,3,25,Male,3
398,Bachelors,2017,New Delhi,2,28,Female,1
399,Bachelors,2015,Pune,1,26,Female,4
400,Masters,2017,New Delhi,3,26,Male,4
401,Bachelors,2014,Bangalore,3,27,Male,5
402,Bachelors,2012,New Delhi,3,24,Female,2
403,Bachelors,2017,New Delhi,2,24,Male,2
404,Bachelors,2015,Bangalore,3,26,Male,4
405,Bachelors,2012,Bangalore,3,26,Female,4
406,Bachelors,2015,Bangalore,3,24,Male,2
407,Masters,2014,Pune,3,25,Male,3
408,Bachelors,2015,Bangalore,3,28,Male,2
409,Bachelors,2016,Pune,3,24,Male,2
410,Bachelors,2016,Bangalore,3,26,Female,4
411,Bachelors,2015,Pune,2,25,Female,3
412,Masters,2013,New Delhi,2,25,Male,3
413,Bachelors,2017,Pune,3,25,Male,3
414,Bachelors,2015,Pune,2,26,Female,4
415,Masters,2015,Bangalore,2,26,Female,4
416,Bachelors,2012,Pune,3,27,Female,5
417,Masters,2017,New Delhi,3,28,Male,2
418,Bachelors,2016,Pune,3,25,Male,3
419,Bachelors,2016,Bangalore,3,24,Male,2
420,Bachelors,2016,Pune,3,28,Male,1
421,Bachelors,2013,New Delhi,3,27,Female,5
422,Bachelors,2015,New Delhi,3,26,Male,4
423,Bachelors,2016,Bangalore,3,27,Male,5
424,Bachelors,2017,Pune,2,27,Male,5
425,Bachelors,2012,Bangalore,3,27,Male,5
426,PHD,2018,New Delhi,3,25,Male,3
427,Bachelors,2014,Pune,3,27,Male,5
428,Bachelors,2013,Bangalore,3,26,Female,4
429,Masters,2017,Pune,2,24,Female,2
430,PHD,2016,New Delhi,2,28,Male,3
431,Masters,2014,New Delhi,3,26,Male,4
432,Masters,2017,New Delhi,2,27,Male,5
433,PHD,2013,New Delhi,3,27,Male,5
434,Masters,2014,New Delhi,3,28,Female,1
435,Bachelors,2017,Pune,3,27,Male,5
436,Bachelors,2015,Pune,3,26,Female,4
437,Masters,2014,Bangalore,3,26,Male,4
438,Masters,2012,Pune,3,27,Male,5
439,Bachelors,2017,Bangalore,3,26,Male,4
440,Masters,2017,Pune,2,27,Male,5
441,Bachelors,2017,Bangalore,3,27,Male,5
442,Bachelors,2016,Bangalore,3,25,Male,3
443,Bachelors,2016,Pune,3,27,Male,5
444,Bachelors,2014,Pune,3,25,Male,3
445,Bachelors,2017,Bangalore,3,28,Male,1
446,Masters,2012,Pune,3,24,Male,2
447,Bachelors,2014,Bangalore,3,25,Male,3
448,Bachelors,2013,Pune,2,25,Male,3
449,Bachelors,2012,Pune,3,27,Male,5
450,Bachelors,2017,Bangalore,3,26,Male,4
451,Bachelors,2013,Pune,3,26,Male,4
452,Bachelors,2016,Bangalore,3,24,Male,2
453,Bachelors,2014,Bangalore,3,25,Female,3
454,Bachelors,2015,New Delhi,3,25,Male,3
455,PHD,2012,Pune,3,24,Male,2
456,Bachelors,2013,Bangalore,3,27,Male,5
457,Bachelors,2015,Bangalore,3,25,Male,3
458,Bachelors,2016,Bangalore,3,26,Male,4
459,Masters,2015,New Delhi,3,24,Female,2
460,Bachelors,2012,Bangalore,3,26,Male,4
461,Bachelors,2013,Pune,3,24,Male,2
462,Masters,2017,New Delhi,3,24,Male,2
463,Bachelors,2014,Bangalore,1,25,Male,3
464,Bachelors,2018,Bangalore,3,28,Male,1
465,Bachelors,2017,Bangalore,3,28,Male,3
466,Masters,2013,Bangalore,3,28,Female,2
467,Bachelors,2013,Bangalore,3,26,Male,4
468,Masters,2018,New Delhi,1,24,Male,2
469,Bachelors,2012,Bangalore,3,25,Male,3
470,PHD,2013,New Delhi,2,27,Female,5
471,Masters,2018,New Delhi,3,28,Male,2
472,Bachelors,2014,Bangalore,3,28,Male,3
473,Bachelors,2014,Pune,3,27,Male,5
474,Bachelors,2013,New Delhi,3,24,Female,2
475,Bachelors,2015,Pune,2,28,Female,1
476,Bachelors,2015,Pune,2,26,Female,4
477,Bachelors,2017,New Delhi,2,28,Female,3
478,Masters,2012,Pune,3,27,Female,5
479,Masters,2017,Pune,3,25,Female,3
480,Masters,2013,New Delhi,2,25,Male,3
481,Masters,2017,New Delhi,2,27,Male,5
482,Bachelors,2017,Bangalore,3,24,Male,2
483,Bachelors,2016,Pune,2,24,Female,2
484,Bachelors,2012,Bangalore,3,26,Female,4
485,Bachelors,2012,Bangalore,3,24,Male,2
486,Masters,2017,Pune,2,24,Male,2
487,Bachelors,2015,Pune,2,25,Female,3
488,Bachelors,2015,New Delhi,3,26,Female,4
489,Bachelors,2013,Pune,2,24,Male,2
490,Bachelors,2013,Pune,3,25,Male,3
491,PHD,2015,New Delhi,2,28,Female,1
492,Bachelors,2016,Pune,3,24,Male,2
493,Bachelors,2017,Bangalore,3,24,Female,2
494,Bachelors,2016,Bangalore,3,27,Male,5
495,Bachelors,2017,Bangalore,3,25,Female,3
496,Masters,2014,New Delhi,3,27,Male,5
497,Bachelors,2016,Bangalore,3,27,Male,5
498,Bachelors,2016,Bangalore,3,28,Female,3
499,Bachelors,2018,Pune,3,25,Male,3
500,Bachelors,2013,Bangalore,3,26,Male,4
501,Bachelors,2015,New Delhi,3,25,Male,3
502,Bachelors,2017,New Delhi,2,25,Female,3
503,Bachelors,2012,Bangalore,3,25,Male,3
504,Bachelors,2014,New Delhi,3,28,Female,2
505,Bachelors,2017,New Delhi,2,27,Female,5
506,Bachelors,2018,Pune,3,26,Male,4
507,Masters,2014,New Delhi,3,28,Male,2
508,Bachelors,2013,Bangalore,3,27,Male,5
509,Masters,2017,Pune,3,25,Male,3
510,Bachelors,2018,Bangalore,3,28,Male,2
511,Bachelors,2016,Bangalore,3,24,Male,2
512,Bachelors,2012,Bangalore,3,24,Male,2
513,Bachelors,2015,Bangalore,3,28,Female,1
514,Bachelors,2014,Bangalore,3,24,Male,2
515,Bachelors,2013,Pune,3,27,Male,5
516,Bachelors,2016,New Delhi,3,24,Female,2
517,Bachelors,2012,Bangalore,3,25,Female,3
518,Bachelors,2012,Pune,3,28,Male,3
519,Bachelors,2018,Pune,3,25,Male,3
520,Bachelors,2014,Bangalore,3,27,Male,5
521,Bachelors,2016,Bangalore,3,27,Female,5
522,Masters,2015,Pune,2,24,Female,2
523,Masters,2014,Bangalore,3,24,Female,2
524,Bachelors,2013,Bangalore,3,25,Male,3
525,Masters,2017,New Delhi,3,24,Male,2
526,Bachelors,2015,Bangalore,3,25,Male,3
527,Bachelors,2017,Bangalore,3,24,Male,2
528,Bachelors,2017,New Delhi,2,28,Male,3
529,Bachelors,2016,Bangalore,3,28,Male,2
530,PHD,2014,New Delhi,3,24,Male,2
531,Masters,2017,New Delhi,2,26,Female,4
532,Masters,2018,New Delhi,3,25,Male,3
533,Bachelors,2014,Bangalore,3,28,Male,3
534,Bachelors,2014,Bangalore,3,25,Male,3
535,Bachelors,2018,New Delhi,3,28,Female,3
536,Masters,2017,New Delhi,2,25,Male,3
537,Masters,2013,New Delhi,3,28,Male,2
538,Bachelors,2014,Bangalore,3,26,Male,4
539,Masters,2017,New Delhi,2,25,Female,3
540,Masters,2013,New Delhi,3,25,Female,3
541,Bachelors,2016,Bangalore,3,25,Male,3
542,Bachelors,2018,Bangalore,3,24,Male,2
543,Masters,2017,New Delhi,2,26,Male,4
544,Bachelors,2013,Bangalore,3,24,Male,2
545,Bachelors,2013,Bangalore,3,28,Male,2
546,Masters,2015,Pune,3,28,Female,2
547,Bachelors,2015,Pune,2,27,Female,5
548,Masters,2014,Pune,2,27,Female,5
549,Bachelors,2017,New Delhi,2,27,Male,5
550,Bachelors,2012,Bangalore,3,26,Male,4
551,Masters,2015,Pune,1,27,Female,5
552,Bachelors,2013,Bangalore,1,28,Male,3
553,Bachelors,2012,Pune,2,26,Female,4
554,Bachelors,2013,Bangalore,3,27,Male,5
555,Masters,2017,New Delhi,2,25,Male,3
556,Bachelors,2017,Bangalore,3,27,Male,5
557,Bachelors,2012,Bangalore,3,24,Male,2
558,Bachelors,2017,New Delhi,3,26,Male,4
